ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Blocksy Custom Data","Blocksy Variation Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
9075,variable,,,"Women’s Halter Neck Crop Top ( set of 2 )",1,0,visible,"<p data-start=""296"" data-end=""418"">Stylish and comfy halter neck crop top with a minimal red motif, perfect for casual wear, parties, and street-style looks.</p>","Upgrade your wardrobe with this <strong data-start=""498"" data-end=""530"">women’s halter neck crop top</strong> featuring a trendy silhouette and a sleek, minimal <strong data-start=""582"" data-end=""595"">red motif</strong> on the front. Designed with a snug, flattering fit, this <strong data-start=""653"" data-end=""692"">stretchable crop bralette-style top</strong> is perfect for pairing with high-waist jeans, skirts, joggers, or shorts.<br data-start=""766"" data-end=""769"" />Available in classic <strong data-start=""790"" data-end=""809"">black and white</strong>, it’s ideal for <strong data-start=""826"" data-end=""905"">casual outings, college wear, travel looks, club nights, and summer styling</strong>. Lightweight, stylish, and easy to wear — a must-have staple for modern fashion lovers.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Top","black crop top, bralette top for women, casual crop top, chic crop top, everyday wear top, fashionable crop top, fitted crop top, halter neck crop top, minimalist crop top, modern women top, party wear crop top, sleeveless crop top, street style top, stretch crop top, summer crop top, trendy womens top, white crop top, women crop top",,"https://mirayfashions.com/wp-content/uploads/2026/01/5.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/4.jpeg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9084,variable,,,"Women’s Wide Leg Lounge Pants – High Waist Drawstring Relaxed Fit (Grey & White)",1,0,visible,"Soft and stylish wide-leg lounge pants with a high-waist drawstring fit — perfect for daily comfort, travel, and casual wear.","Stay comfy and effortlessly stylish with these <strong data-start=""505"" data-end=""538"">women’s wide leg lounge pants</strong> designed for all-day ease. Featuring a <strong data-start=""578"" data-end=""626"">high-waist fit with an adjustable drawstring</strong>, these pants offer a relaxed silhouette that flatters every body type.<br data-start=""697"" data-end=""700"" />Perfect for <strong data-start=""712"" data-end=""785"">homewear, travel, casual outings, airport looks, and everyday styling</strong>, the wide-leg design adds a modern, minimal vibe. Available in versatile <strong data-start=""859"" data-end=""877"">grey and white</strong>, these pants pair easily with crop tops, oversized tees, hoodies, and sneakers for an on-trend look. A must-have wardrobe essential for comfort and style lovers.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Track Pants, Trousers","airport look pants, casual pants for women, comfy pants women, cotton lounge pants, drawstring pants women, everyday wear pants, grey lounge pants, high waist wide leg pants, korean style pants, loose fit pants women, lounge pants for women, minimalist women pants, relaxed fit pants women, straight wide leg pants, summer lounge pants, travel pants women, white lounge pants, women wide leg pants",,"https://mirayfashions.com/wp-content/uploads/2026/01/3.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/2.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/1.webp",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9085,variable,,,"Women’s V-Neck Button Front Corset Vest Top – Side Drawstring Waist Cincher (White & Navy)",1,0,visible,"Trendy corset-style vest top with V-neck and button front, featuring adjustable side drawstrings for a flattering, snatched fit.","Add a chic, structured touch to your wardrobe with this <strong data-start=""559"" data-end=""586"">women’s corset vest top</strong> featuring a stylish <strong data-start=""607"" data-end=""621"">V-neckline</strong> and elegant <strong data-start=""634"" data-end=""657"">button-front design</strong>. The standout feature is the <strong data-start=""687"" data-end=""718"">adjustable side drawstrings</strong>, allowing you to cinch the waist for a flattering silhouette and customized fit.<br data-start=""799"" data-end=""802"" />Perfect for <strong data-start=""814"" data-end=""884"">party looks, date nights, casual outings, and street-style outfits</strong>, this trendy vest pairs beautifully with high-waist jeans, trousers, skirts, or layered over shirts. Available in timeless <strong data-start=""1008"" data-end=""1026"">white and navy</strong>, it delivers a classy yet bold fashion vibe — ideal for modern women who love fitted statement tops.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Top","button front top women, chic women top, corset vest top, date night top, drawstring corset top, fitted vest top, korean style vest, navy blue vest top, party wear top women, sleeveless vest top, streetwear top women, structured top women, trendy women top, v neck vest top, waist cincher top, waist shaping top, white vest top, women vest top",,"https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-31-at-12.28.49-AM.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-31-at-12.28.49-AM-1.jpeg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9086,variable,,,"Women’s Ruched Tie Strap Crop Top – Bow Shoulder Sleeveless Stretch Top (Black & White)",1,0,visible,"Trendy ruched crop top with cute bow tie shoulder straps — perfect for summer outfits, casual wear, and party looks.","Make a stylish statement with this <strong data-start=""486"" data-end=""523"">women’s ruched tie strap crop top</strong> designed to give a flattering, trendy silhouette. Featuring adorable <strong data-start=""593"" data-end=""620"">bow tie shoulder straps</strong> and a <strong data-start=""627"" data-end=""654"">stretchable ruched body</strong>, this top hugs your shape while keeping you comfortable all day.<br data-start=""719"" data-end=""722"" />Ideal for <strong data-start=""732"" data-end=""807"">summer wear, vacations, brunch looks, college outfits, and party nights</strong>, it pairs effortlessly with high-waist jeans, skirts, shorts, or wide-leg pants. Available in classic <strong data-start=""910"" data-end=""929"">black and white</strong>, this sleeveless crop top is a must-have for minimal yet fashionable styling.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Top","aesthetic crop top, black crop top, bow shoulder crop top, brunch outfit top, camisole crop top, casual crop top, cute crop top, fitted crop top, party wear crop top, ruched crop top, street style crop top, stretch crop top, summer crop top women, tie strap crop top, trendy women top, vacation top women, white crop top, women sleeveless crop top",,"https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-9.08.29-PM.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-9.08.29-PM-1.jpeg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9087,variable,,,"Women’s V-Neck Ruched Front Crop Top – Short Sleeve Stretch Slim Fit Tee (Black, Pink & White)",1,0,visible,"Soft and stylish V-neck crop top with ruched front detail and short sleeves — perfect for everyday casual and trendy outfits.","Upgrade your everyday wardrobe with this <strong data-start=""530"" data-end=""570"">women’s V-neck ruched front crop top</strong>, designed for a flattering and comfortable fit. Featuring a stylish <strong data-start=""639"" data-end=""668"">twist/ruched front detail</strong> and <strong data-start=""673"" data-end=""690"">short sleeves</strong>, this top gives a modern feminine look that’s perfect for daily wear.<br data-start=""760"" data-end=""763"" />Made with a <strong data-start=""775"" data-end=""810"">stretchable slim-fit silhouette</strong>, it pairs effortlessly with high-waist jeans, skirts, cargo pants, or shorts. Available in versatile <strong data-start=""912"" data-end=""943"">black, white, and soft pink</strong>, this crop tee is ideal for <strong data-start=""972"" data-end=""1046"">casual outings, college wear, travel, brunch looks, and summer styling</strong>. A must-have basic with a trendy twist!",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Top","black crop top, casual crop top, cute crop top, everyday wear top, fitted crop top, korean style crop top, pink crop top, ruched crop top, short sleeve crop top, slim fit crop top, street style top, stretch crop top, summer top women, trendy women top, twist front top women, v neck crop top, white crop top, women crop tee",,"https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.25-PM.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.25-PM-1.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.11-PM.jpeg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9088,variable,,,"Women’s Tie Strap Crop Top – Ruched Sleeveless Camisole with Bow Shoulder Straps (Black, Pink & White)",1,0,visible,"Elegant crop camisole with ruched fit and cute bow tie shoulder straps — perfect for party, date night, and summer looks.",,,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Combo, Featured, migrate, New Arrivals, Top",,,"https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.09-PM-2.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.09-PM-1.jpeg, https://mirayfashions.com/wp-content/uploads/2026/01/WhatsApp-Image-2025-12-29-at-8.41.09-PM.jpeg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9089,variable,,,"Women’s Wide Leg  Pants – High Waist Drawstring Loose Fit (Black & White)",1,0,visible,"<p data-start=""280"" data-end=""413"">Comfortable wide-leg palazzo pants with high waist and drawstring closure — perfect for daily wear, travel, and stylish casual looks.</p>","Step into effortless comfort with these <strong data-start=""501"" data-end=""535"">women’s wide leg palazzo pants</strong>, designed with a relaxed silhouette for all-day ease. Featuring a <strong data-start=""602"" data-end=""620"">high-waist fit</strong> and an <strong data-start=""628"" data-end=""663"">adjustable drawstring waistband</strong>, these pants provide a flattering fit while keeping your style minimal and modern.<br data-start=""746"" data-end=""749"" />Perfect for <strong data-start=""761"" data-end=""850"">casual outings, office casual looks, lounge wear, travel outfits, and airport styling</strong>, these wide-leg trousers pair beautifully with crop tops, tees, shirts, or hoodies. Available in classic <strong data-start=""956"" data-end=""975"">black and white</strong>, they’re a versatile wardrobe essential you’ll reach for again and again.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Featured, migrate, New Arrivals, Trousers","airport look pants, black wide leg pants, casual trousers women, comfy pants women, daily wear pants, drawstring palazzo pants, high waist palazzo, loose fit pants women, lounge pants women, minimalist pants women, relaxed fit trousers, straight wide leg pants, summer palazzo pants, travel pants women, trendy women pants, white wide leg pants, wide leg pants women, women palazzo pants",,"https://mirayfashions.com/wp-content/uploads/2026/01/3b2c0553-12ec-41ca-9005-af45c9c2e0a3.avif, https://mirayfashions.com/wp-content/uploads/2026/01/20a74cd6-ae5b-43f1-b2c5-33e390734dd9.avif, https://mirayfashions.com/wp-content/uploads/2026/01/33022481-5235-478c-b623-bb73d3b7e707.avif, https://mirayfashions.com/wp-content/uploads/2026/01/c667bbc8-1039-4022-ae3a-2efc4527e9d4.avif, https://mirayfashions.com/wp-content/uploads/2026/01/b5d0fd7a-b2f3-42d3-91ff-de9b3e4d9809.avif",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9090,variable,,,"Women’s Black Sleeveless Bodycon Midi Dress – Elegant Slim Fit Party Dress",1,0,visible,"<p data-start=""301"" data-end=""425"">Classic black sleeveless bodycon midi dress with a sleek slim-fit look — perfect for parties, date nights, and evening wear.</p>","Step out in timeless style with this <strong data-start=""510"" data-end=""557"">women’s black sleeveless bodycon midi dress</strong>, designed to give a flattering, elegant silhouette. Featuring a clean neckline and a smooth body-hugging fit, this dress is perfect for creating a chic and confident look.<br data-start=""729"" data-end=""732"" />Ideal for <strong data-start=""742"" data-end=""820"">party wear, date nights, dinner outings, club looks, and special occasions</strong>, this slim-fit midi dress pairs beautifully with heels, statement jewelry, and a clutch. The versatile <strong data-start=""924"" data-end=""945"">solid black color</strong> makes it a must-have wardrobe essential for every modern woman.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Dress, Evening Wear, Featured, migrate, New Arrivals, Party Wear","black bodycon dress, black midi dress, casual party dress, classy women dress, club wear dress, cocktail dress women, date night dress, elegant evening dress, fitted dress women, midi bodycon dress, minimalist dress women, sleeveless bodycon dress, slim fit dress women, solid black dress, trendy bodycon dress, western dress for women, women night dress, women party dress",,"https://mirayfashions.com/wp-content/uploads/2026/01/1752572526ca33d7966ee0608b64fe2a809c4f3228_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/1752572526be5e862e54d424527a22798687351795_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/17525725262984561abb25325a50c0572edd838719_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/17525725262323729a01fde30777509bc03630a90b_thumbnail_900x.jpg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9135,variable,,,"Women’s Black Sleeveless Fit & Flare Mini Dress – Elegant A-Line Party Dress",1,0,visible,"Chic black sleeveless fit &amp; flare mini dress with an A-line silhouette — perfect for parties, date nights, and evening outings.","<p data-start=""459"" data-end=""1008"">Look effortlessly stylish in this <strong data-start=""493"" data-end=""546"">women’s black sleeveless fit and flare mini dress</strong>, designed to give you a flattering and feminine shape. The fitted upper bodice enhances your curves, while the <strong data-start=""658"" data-end=""680"">flowy A-line skirt</strong> adds a graceful touch and comfortable movement.<br data-start=""728"" data-end=""731"" />Perfect for <strong data-start=""743"" data-end=""824"">party nights, date evenings, birthdays, dinner outings, and special occasions</strong>, this timeless black dress pairs beautifully with heels, boots, or statement accessories. A must-have wardrobe essential for modern women who love classy, minimal, and trendy fashion.</p>",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Dress, Evening Wear, Featured, migrate, New Arrivals, party, Party Wear","a line dress women, birthday party dress, black mini dress, black party dress, casual party dress, classy black dress, cute mini dress, date night dress, elegant mini dress, evening dress women, fit and flare dress, skater dress women, sleeveless mini dress, slim fit dress women, summer mini dress, trendy mini dress, western dress for women, women party dress",,"https://mirayfashions.com/wp-content/uploads/2026/01/1745485873ce3a8282565ed9457883e37680b0e4d0_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/174548586951f7770a2e62ada21374d0e685f6bbbe_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/1743397714e8cf393e5cbd7e3a1d12f932edfb1082_thumbnail_900x.jpg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
9136,variable,,,"Women’s Maroon Sleeveless Fit & Flare Mini Dress – Elegant A-Line Party Dress",1,0,visible,"<p data-start=""295"" data-end=""430"">Stylish maroon sleeveless fit &amp; flare mini dress with a flattering A-line silhouette — perfect for parties, dates, and evening outings.</p>","Make a bold statement with this <strong data-start=""510"" data-end=""564"">women’s maroon sleeveless fit and flare mini dress</strong>, designed to highlight your curves with a fitted bodice and a softly flared skirt. The rich <strong data-start=""657"" data-end=""682"">burgundy/maroon shade</strong> adds a classy, premium vibe, making it perfect for special occasions.<br data-start=""752"" data-end=""755"" />Ideal for <strong data-start=""765"" data-end=""843"">party nights, dinner dates, birthdays, festive events, and evening outings</strong>, this mini dress pairs beautifully with heels, minimal jewelry, and a clutch. Comfortable, trendy, and effortlessly elegant — a must-have for every modern wardrobe.",,,taxable,,1,,,0,0,,,,,0,,,,"All Clothing, Dress, Evening Wear, Featured, migrate, New Arrivals, party, Party Wear","a line mini dress, birthday party dress, burgundy dress women, classy party dress, date night dress, dinner date dress, elegant mini dress, evening mini dress, festive dress women, fit and flare dress, maroon mini dress, maroon party dress, skater dress women, sleeveless mini dress, slim fit mini dress, trendy mini dress, western dress for women, women party dress",,"https://mirayfashions.com/wp-content/uploads/2026/01/1749608235f80e70cd643817ee2187cf7ee48a6c51_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/1749608239377a3e3c3382e677d3c8757494e24d47_thumbnail_900x.jpg, https://mirayfashions.com/wp-content/uploads/2026/01/1749608241d06cc41ee477ce0b0ee8ed0c517321bd_thumbnail_900x.jpg",,,,,,,,,0,,,,Size,"L, M, S, XL, XS",1,1,,,,
